-----------560-----------
559,Frog,0,F r o g,0 1 2 3,F r o g -,-,"Simple edit score, Progressive alignment"
559,Frog,0,F r o g,0 1 2 4,F r o - g -,-,"Simple edit score, Progressive alignment with LCS"
-----------561-----------
560,Frog,1,F r o g g i e s,0 1 2 3 4 5 6 8,F r o g -,- g i e s,"Simple edit score, Progressive alignment"
560,Frog,1,F r o g g i e s,0 1 2 3 4 5 6 8,F r o - g -,- g - i e s,"Simple edit score, Progressive alignment with LCS"
-----------562-----------
561,Frog,2,F r o g g y,0 1 2 3 4 7,F r o g -,- g y,"Simple edit score, Progressive alignment"
561,Frog,2,F r o g g y,0 1 2 3 4 7,F r o - g -,- g - y,"Simple edit score, Progressive alignment with LCS"
-----------563-----------
562,Frog,3,F r o g s,0 1 2 3 8,F r o g -,- s,"Simple edit score, Progressive alignment"
562,Frog,3,F r o g s,0 1 2 4 8,F r o - g -,- s,"Simple edit score, Progressive alignment with LCS"
-----------1765-----------
1764,abet,0,a b e t,0 1 2 3,a b e t -,-,"Simple edit score, Progressive alignment"
1764,abet,0,a b e t,0 1 2 4,a b e - t -,-,"Simple edit score, Progressive alignment with LCS"
-----------1766-----------
1765,abet,1,a b e t s,0 1 2 3 12,a b e t -,- s,"Simple edit score, Progressive alignment"
1765,abet,1,a b e t s,0 1 2 4 12,a b e - t -,- s,"Simple edit score, Progressive alignment with LCS"
-----------1767-----------
1766,abet,2,a b e t t e d,0 1 2 3 4 10 11,a b e t -,- t e d,"Simple edit score, Progressive alignment"
1766,abet,2,a b e t t e d,0 1 2 3 4 10 11,a b e - t -,- t - e d,"Simple edit score, Progressive alignment with LCS"
-----------1768-----------
1767,abet,3,a b e t t i n g,0 1 2 3 4 5 6 7,a b e t -,- t i n g,"Simple edit score, Progressive alignment"
1767,abet,3,a b e t t i n g,0 1 2 3 4 5 6 7,a b e - t -,- t - i n g,"Simple edit score, Progressive alignment with LCS"
-----------1769-----------
1768,abet,4,a b e t t o r,0 1 2 3 4 8 9,a b e t -,- t o r,"Simple edit score, Progressive alignment"
1768,abet,4,a b e t t o r,0 1 2 3 4 8 9,a b e - t -,- t - o r,"Simple edit score, Progressive alignment with LCS"
-----------1770-----------
1769,abet,5,a b e t t o r s,0 1 2 3 4 8 9 12,a b e t -,- t o r s,"Simple edit score, Progressive alignment"
1769,abet,5,a b e t t o r s,0 1 2 3 4 8 9 12,a b e - t -,- t - o r s,"Simple edit score, Progressive alignment with LCS"
-----------2319-----------
2318,add,1,a d d e d,0 1 2 10 11,a d d -,- e d,"Simple edit score, Progressive alignment"
2318,add,1,a d d e d,0 1 2 8 10,a d d -,- e d,"Simple edit score, Progressive alignment with LCS"
-----------2320-----------
2319,add,2,a d d i n g,0 1 2 5 8 9,a d d -,- i n g,"Simple edit score, Progressive alignment"
