i,1307
e,1153
a,821
n,809
o,510
s,360
t,337
l,280
u,229
g,220
p,182
r,177
d,175
m,111
b,89
g i n,82
c,70
h,38
v,33
f,24
k,18
n g i,11
y,8
w,8
u l f,6
l f i,6
f e s s i o n,6
c h u,6
a y d,6
z,5
o o f r,5
n a t i o,5
l f u,5
t m a s,4
t h r,4
o o k b i,4
l h a u,4
l a b,4
s n e s,3
k m a r,3
i t u d,3
f e l i,3
e t a r i,3
y w a,2
w e e p s,2
v e n t y e,2
u n t e r o,2
u b t,2
t r o o,2
t r a l,2
t n ',2
t m e n,2
t c o a,2
t c h m e n t a,2
s t e,2
s m i,2
s m a,2
s h o u,2
r t o,2
r i n g p a r,2
r i n g a,2
r b o a,2
p f l o,2
o w d e r p,2
o r n c,2
o r l d w,2
o n g u e t,2
o l i c a,2
o c l,2
o b g,2
n p i,2
n p e,2
n l a,2
n g p i,2
n d s c r e e n w i,2
n d a,2
m p u,2
l i c a,2
l a y e r p,2
i n g w i,2
h o p s,2
h a c,2
g l i n,2
g e s t a,2
e t y f,2
e s t o n,2
e p i p,2
e o m,2
e l l w,2
e l f s,2
e h o l,2
e h i v,2
e e p y c r,2
e d o v,2
e a r w o,2
b i t b,2
a r w,2
a l r,2
a l f h,2
w e e t s,1
t g u,1
s s n e,1
s o n i,1
s f o u r,1
r o w r,1
r i s r,1
r e e f,1
r e e d y g,1
r a c k l e c,1
p i n d l e s,1
p h a,1
o w d,1
o u l s,1
o u b l,1
o o d l,1
o c k t,1
o c k d,1
o E u r o p e,1
n o c k k,1
n i n g s r,1
n e s o,1
n d h a,1
m e l l i n g s,1
l f s e,1
l f e,1
k w o r,1
k n i c k,1
i p r,1
i n k e t y c l,1
h e l l s,1
f u l,1
f t s o,1
f r o A,1
e p a p,1
e o v,1
e l i n,1
e i r,1
e a s u r e t r,1
e a n l,1
c i e n c e s,1
b i n a t i o n,1
a u l t f,1
a c t f,1
a b l e t,1
a b b l e r,1
a ',1
