r e,716
u n,615
a,521
i n,499
i,454
s,404
o,383
m,382
c,356
p,347
d e,317
d i s,310
e n,268
o v e r,261
d,242
t,232
o u t,196
b e,192
e,189
n,184
b,172
m i s,165
l,151
h,147
u n d e r,138
f,125
w i,122
r,108
a i r,84
w,79
f o r e,79
i n t e r,71
b a c k,69
g,68
w a t e r,67
s u b,65
u p,55
t e l e,53
i l l,51
c o u n t e r,51
s e a,50
t r a n s,49
b r o,49
b u l,47
f i r e,45
t e a,44
s e l f,44
f o o t,44
o v e,42
e a r,42
c a r,42
f r e e,40
c r o s s,40
s o f,37
d o u b l e,37
a n t,36
s i d e,35
p r o,35
n o n,34
h a n d,34
s t e,33
e y e,33
n e w s,32
h o u s e,32
n i g h t,31
i c e,31
h i p,31
e x,29
b l a c k,28
s h o r t,27
b l o o d,27
a l l,27
s n o w,26
h i g h,26
g a s,26
p o t,25
l o w,25
h a l f,25
d o o r,25
w o o d,24
w i n d,24
p l a y,24
h e a d,24
s e m i,23
p o s t,23
c a t,23
b o o k,23
t i m e,22
p h o t o,22
p e r,22
f l y,22
w a r,21
o i l,21
o f f,21
l a n d,21
w e l l,20
l o n g,20
w a t c h,19
s u r,19
s k y,19
s a f e t y,19
p a n,19
r a d i o,18
l i f e,18
b y,18
w e a t h e r,17
t y p e,17
s h o p,17
h o r s e,17
d o g,17
b l u e,17
w o r d,16
t r i,16
s t o r m,16
s t o n e,16
s a n d,16
g r a n d,16
g o l d,16
f o x,16
c o p y,16
w a s h,15
t a b l e,15
s u p e r,15
l o c k,15
f a c e,15
b r a i n,15
b e l l,15
a r m,15
t o o t h,14
r i n g,14
p a r,14
m i c r o,14
j a c k,14
f i s h,14
e g g,14
c r o,14
u,13
s t o c k,13
s p a c e,13
q u i c k,13
q u a r t e r,13
m o n o,13
m o n e y,13
d e a t h,13
c o r n,13
c o a l,13
c h a i n,13
a f t e r,13
t u r n,12
s o u n d,12
s k i n,12
s h o e,12
s c h o o l,12
r o p e,12
p r e s s,12
n a m e,12
l a n d i n g,12
g o d,12
g a m e,12
c h e c k,12
b e s t,12
L,12
w o r m,11
s u g a r,11
s l i p,11
s i c k,11
r o c k,11
r o a d,11
r a i n,11
p a y,11
n o s e,11
m u d,11
l o u d,11
k i l o,11
h e a r t,11
f a r,11
d o w n,11
C,11
w i n g,10
s h i r t,10
p a p e r,10
m i l k,10
m i d,10
j,10
h o m e,10
h e d g e,10
