
r e
	SELECTED: ('r e', None), score: 716, other:NO PARSING AVAILABLE
	OTHER:

u n
	SELECTED: ('u n', None), score: 615, other:NO PARSING AVAILABLE
	OTHER:

a
	SELECTED: ('a', None), score: 521, other:NO PARSING AVAILABLE
	OTHER:

i n
	SELECTED: ('i n', None), score: 499, other:NO PARSING AVAILABLE
	OTHER:

i
	SELECTED: ('i', None), score: 454, other:NO PARSING AVAILABLE
	OTHER:

s
	SELECTED: ('s', None), score: 404, other:NO PARSING AVAILABLE
	OTHER:

o
	SELECTED: ('o', None), score: 383, other:NO PARSING AVAILABLE
	OTHER:

m
	SELECTED: ('m', None), score: 382, other:NO PARSING AVAILABLE
	OTHER:

c
	SELECTED: ('c', None), score: 356, other:NO PARSING AVAILABLE
	OTHER:

p
	SELECTED: ('p', None), score: 347, other:NO PARSING AVAILABLE
	OTHER:

d e
	SELECTED: ('d e', None), score: 317, other:NO PARSING AVAILABLE
	OTHER:

d i s
	SELECTED: ('d i s', None), score: 310, other:NO PARSING AVAILABLE
	OTHER:

e n
	SELECTED: ('e n', None), score: 268, other:NO PARSING AVAILABLE
	OTHER:

o v e r
	SELECTED: ('o v e r', None), score: 261, other:NO PARSING AVAILABLE
	OTHER:

d
	SELECTED: ('d', None), score: 242, other:NO PARSING AVAILABLE
	OTHER:

t
	SELECTED: ('t', None), score: 232, other:NO PARSING AVAILABLE
	OTHER:

o u t
	SELECTED: ('o u t', None), score: 196, other:NO PARSING AVAILABLE
	OTHER:

b e
	SELECTED: ('b e', None), score: 192, other:NO PARSING AVAILABLE
	OTHER:

e
	SELECTED: ('e', None), score: 189, other:NO PARSING AVAILABLE
	OTHER:

n
	SELECTED: ('n', None), score: 184, other:NO PARSING AVAILABLE
	OTHER:

b
	SELECTED: ('b', None), score: 172, other:NO PARSING AVAILABLE
	OTHER:

m i s
	SELECTED: ('m i s', None), score: 165, other:NO PARSING AVAILABLE
	OTHER:

l
	SELECTED: ('l', None), score: 151, other:NO PARSING AVAILABLE
	OTHER:

h
	SELECTED: ('h', None), score: 147, other:NO PARSING AVAILABLE
	OTHER:

u n d e r
	SELECTED: ('u n d e r', None), score: 138, other:NO PARSING AVAILABLE
	OTHER:

f
	SELECTED: ('f', None), score: 125, other:NO PARSING AVAILABLE
	OTHER:

w i
	SELECTED: ('w i', None), score: 122, other:NO PARSING AVAILABLE
	OTHER:

r
	SELECTED: ('r', None), score: 108, other:NO PARSING AVAILABLE
	OTHER:

a i r
	SELECTED: ('a i r', None), score: 84, other:NO PARSING AVAILABLE
	OTHER:

w
	SELECTED: ('w', None), score: 79, other:NO PARSING AVAILABLE
	OTHER:

f o r e
	SELECTED: ('f o r e', None), score: 79, other:NO PARSING AVAILABLE
	OTHER:

i n t e r
	SELECTED: ('i n t e r', None), score: 71, other:NO PARSING AVAILABLE
	OTHER:

b a c k
	SELECTED: ('b a c k', None), score: 69, other:NO PARSING AVAILABLE
	OTHER:

g
	SELECTED: ('g', None), score: 68, other:NO PARSING AVAILABLE
	OTHER:

w a t e r
	SELECTED: ('w a t e r', None), score: 67, other:NO PARSING AVAILABLE
	OTHER:

s u b
	SELECTED: ('s u b', None), score: 65, other:NO PARSING AVAILABLE
	OTHER:

u p
	SELECTED: ('u p', None), score: 55, other:NO PARSING AVAILABLE
	OTHER:

t e l e
	SELECTED: ('t e l e', None), score: 53, other:NO PARSING AVAILABLE
	OTHER:

i l l
	SELECTED: ('i l l', None), score: 51, other:NO PARSING AVAILABLE
	OTHER:

c o u n t e r
	SELECTED: ('c o u n t e r', None), score: 51, other:NO PARSING AVAILABLE
	OTHER:

s e a
	SELECTED: ('s e a', None), score: 50, other:NO PARSING AVAILABLE
	OTHER:

t r a n s
	SELECTED: ('t r a n s', None), score: 49, other:NO PARSING AVAILABLE
	OTHER:

b r o
	SELECTED: ('b r o', None), score: 49, other:NO PARSING AVAILABLE
	OTHER:

b u l
	SELECTED: ('b u l', None), score: 47, other:NO PARSING AVAILABLE
	OTHER:

f i r e
	SELECTED: ('f i r e', None), score: 45, other:NO PARSING AVAILABLE
	OTHER:

t e a
	SELECTED: ('t e a', None), score: 44, other:NO PARSING AVAILABLE
	OTHER:

s e l f
	SELECTED: ('s e l f', None), score: 44, other:NO PARSING AVAILABLE
	OTHER:

f o o t
	SELECTED: ('f o o t', None), score: 44, other:NO PARSING AVAILABLE
	OTHER:

o v e
	SELECTED: ('o v e', None), score: 42, other:NO PARSING AVAILABLE
	OTHER:

e a r
	SELECTED: ('e a r', None), score: 42, other:NO PARSING AVAILABLE
	OTHER:

c a r
	SELECTED: ('c a r', None), score: 42, other:NO PARSING AVAILABLE
	OTHER:

f r e e
	SELECTED: ('f r e e', None), score: 40, other:NO PARSING AVAILABLE
	OTHER:

c r o s s
	SELECTED: ('c r o s s', None), score: 40, other:NO PARSING AVAILABLE
	OTHER:

s o f
	SELECTED: ('s o f', None), score: 37, other:NO PARSING AVAILABLE
	OTHER:

d o u b l e
	SELECTED: ('d o u b l e', None), score: 37, other:NO PARSING AVAILABLE
	OTHER:

a n t
	SELECTED: ('a n t', None), score: 36, other:NO PARSING AVAILABLE
	OTHER:

s i d e
	SELECTED: ('s i d e', None), score: 35, other:NO PARSING AVAILABLE
	OTHER:

p r o
	SELECTED: ('p r o', None), score: 35, other:NO PARSING AVAILABLE
	OTHER:

n o n
	SELECTED: ('n o n', None), score: 34, other:NO PARSING AVAILABLE
	OTHER:

h a n d
	SELECTED: ('h a n d', None), score: 34, other:NO PARSING AVAILABLE
	OTHER:

s t e
	SELECTED: ('s t e', None), score: 33, other:NO PARSING AVAILABLE
	OTHER:

e y e
	SELECTED: ('e y e', None), score: 33, other:NO PARSING AVAILABLE
	OTHER:

n e w s
	SELECTED: ('n e w s', None), score: 32, other:NO PARSING AVAILABLE
	OTHER:

h o u s e
	SELECTED: ('h o u s e', None), score: 32, other:NO PARSING AVAILABLE
	OTHER:

n i g h t
	SELECTED: ('n i g h t', None), score: 31, other:NO PARSING AVAILABLE
	OTHER:

i c e
	SELECTED: ('i c e', None), score: 31, other:NO PARSING AVAILABLE
	OTHER:

h i p
	SELECTED: ('h i p', None), score: 31, other:NO PARSING AVAILABLE
	OTHER:

e x
	SELECTED: ('e x', None), score: 29, other:NO PARSING AVAILABLE
	OTHER:

b l a c k
	SELECTED: ('b l a c k', None), score: 28, other:NO PARSING AVAILABLE
	OTHER:

s h o r t
	SELECTED: ('s h o r t', None), score: 27, other:NO PARSING AVAILABLE
	OTHER:

b l o o d
	SELECTED: ('b l o o d', None), score: 27, other:NO PARSING AVAILABLE
	OTHER:

a l l
	SELECTED: ('a l l', None), score: 27, other:NO PARSING AVAILABLE
	OTHER:

s n o w
	SELECTED: ('s n o w', None), score: 26, other:NO PARSING AVAILABLE
	OTHER:

h i g h
	SELECTED: ('h i g h', None), score: 26, other:NO PARSING AVAILABLE
	OTHER:

g a s
	SELECTED: ('g a s', None), score: 26, other:NO PARSING AVAILABLE
	OTHER:

p o t
	SELECTED: ('p o t', None), score: 25, other:NO PARSING AVAILABLE
	OTHER:

l o w
	SELECTED: ('l o w', None), score: 25, other:NO PARSING AVAILABLE
	OTHER:

h a l f
	SELECTED: ('h a l f', None), score: 25, other:NO PARSING AVAILABLE
	OTHER:

d o o r
	SELECTED: ('d o o r', None), score: 25, other:NO PARSING AVAILABLE
	OTHER:

w o o d
	SELECTED: ('w o o d', None), score: 24, other:NO PARSING AVAILABLE
	OTHER:

w i n d
	SELECTED: ('w i n d', None), score: 24, other:NO PARSING AVAILABLE
	OTHER:

p l a y
	SELECTED: ('p l a y', None), score: 24, other:NO PARSING AVAILABLE
	OTHER:

h e a d
	SELECTED: ('h e a d', None), score: 24, other:NO PARSING AVAILABLE
	OTHER:

s e m i
	SELECTED: ('s e m i', None), score: 23, other:NO PARSING AVAILABLE
	OTHER:

p o s t
	SELECTED: ('p o s t', None), score: 23, other:NO PARSING AVAILABLE
	OTHER:

c a t
	SELECTED: ('c a t', None), score: 23, other:NO PARSING AVAILABLE
	OTHER:

b o o k
	SELECTED: ('b o o k', None), score: 23, other:NO PARSING AVAILABLE
	OTHER:

t i m e
	SELECTED: ('t i m e', None), score: 22, other:NO PARSING AVAILABLE
	OTHER:

p h o t o
	SELECTED: ('p h o t o', None), score: 22, other:NO PARSING AVAILABLE
	OTHER:

p e r
	SELECTED: ('p e r', None), score: 22, other:NO PARSING AVAILABLE
	OTHER:

f l y
	SELECTED: ('f l y', None), score: 22, other:NO PARSING AVAILABLE
	OTHER:

w a r
	SELECTED: ('w a r', None), score: 21, other:NO PARSING AVAILABLE
	OTHER:

o i l
	SELECTED: ('o i l', None), score: 21, other:NO PARSING AVAILABLE
	OTHER:

o f f
	SELECTED: ('o f f', None), score: 21, other:NO PARSING AVAILABLE
	OTHER:

l a n d
	SELECTED: ('l a n d', None), score: 21, other:NO PARSING AVAILABLE
	OTHER:

w e l l
	SELECTED: ('w e l l', None), score: 20, other:NO PARSING AVAILABLE
	OTHER:

l o n g
	SELECTED: ('l o n g', None), score: 20, other:NO PARSING AVAILABLE
	OTHER:

w a t c h
	SELECTED: ('w a t c h', None), score: 19, other:NO PARSING AVAILABLE
	OTHER:

s u r
	SELECTED: ('s u r', None), score: 19, other:NO PARSING AVAILABLE
	OTHER:

s k y
