
s
	SELECTED: ('s', None), score: 23020, other:NO PARSING AVAILABLE
	OTHER:

e
	SELECTED: ('e', None), score: 13344, other:NO PARSING AVAILABLE
	OTHER:

i n g
	SELECTED: ('i n g', None), score: 4411, other:NO PARSING AVAILABLE
	OTHER:

e s
	SELECTED: ('e', 's'), score: 27353, other:4333
	OTHER:
		('e s', None), score: 8666

e r
	SELECTED: ('e r', None), score: 4266, other:NO PARSING AVAILABLE
	OTHER:

e d
	SELECTED: ('e d', None), score: 4247, other:NO PARSING AVAILABLE
	OTHER:

t
	SELECTED: ('t', None), score: 3400, other:NO PARSING AVAILABLE
	OTHER:

i
	SELECTED: ('i', None), score: 3201, other:NO PARSING AVAILABLE
	OTHER:

l y
	SELECTED: ('l y', None), score: 2135, other:NO PARSING AVAILABLE
	OTHER:

y
	SELECTED: ('y', None), score: 1590, other:NO PARSING AVAILABLE
	OTHER:

n e s s
	SELECTED: ('n e s s', None), score: 979, other:NO PARSING AVAILABLE
	OTHER:

a l
	SELECTED: ('a l', None), score: 927, other:NO PARSING AVAILABLE
	OTHER:

n
	SELECTED: ('n', None), score: 873, other:NO PARSING AVAILABLE
	OTHER:

r
	SELECTED: ('r', None), score: 790, other:NO PARSING AVAILABLE
	OTHER:

d
	SELECTED: ('d', None), score: 679, other:NO PARSING AVAILABLE
	OTHER:

l
	SELECTED: ('l', None), score: 607, other:NO PARSING AVAILABLE
	OTHER:

i c
	SELECTED: ('i c', None), score: 604, other:NO PARSING AVAILABLE
	OTHER:

a
	SELECTED: ('a', None), score: 603, other:NO PARSING AVAILABLE
	OTHER:

i o n
	SELECTED: ('i o n', None), score: 538, other:NO PARSING AVAILABLE
	OTHER:

f u l
	SELECTED: ('f u l', None), score: 451, other:NO PARSING AVAILABLE
	OTHER:

c
	SELECTED: ('c', None), score: 422, other:NO PARSING AVAILABLE
	OTHER:

a t i o n
	SELECTED: ('a t i o n', None), score: 404, other:NO PARSING AVAILABLE
	OTHER:

l e s s
	SELECTED: ('l e s s', None), score: 359, other:NO PARSING AVAILABLE
	OTHER:

a t e
	SELECTED: ('a t e', None), score: 356, other:NO PARSING AVAILABLE
