sound_id,tier,value
!,segmental,!
"""",segmental,""""
#,segmental,#
$,segmental,$
%,segmental,%
&,segmental,&
',segmental,'
(,segmental,(
),segmental,)
*,segmental,*
+,segmental,+
",",segmental,","
-,segmental,-
.,segmental,.
/,segmental,/
:,segmental,:
;,segmental,;
<,segmental,<
=,segmental,=
>,segmental,>
?,segmental,?
@,segmental,@
A,segmental,A
B,segmental,B
C,segmental,C
D,segmental,D
E,segmental,E
F,segmental,F
G,segmental,G
H,segmental,H
I,segmental,I
J,segmental,J
K,segmental,K
L,segmental,L
M,segmental,M
N,segmental,N
O,segmental,O
P,segmental,P
Q,segmental,Q
R,segmental,R
S,segmental,S
T,segmental,T
U,segmental,U
V,segmental,V
W,segmental,W
X,segmental,X
Y,segmental,Y
Z,segmental,Z
[,segmental,[
\,segmental,\
],segmental,]
^,segmental,^
_,segmental,_
`,segmental,`
a,segmental,a
b,segmental,b
c,segmental,c
d,segmental,d
e,segmental,e
f,segmental,f
g,segmental,g
h,segmental,h
i,segmental,i
j,segmental,j
k,segmental,k
l,segmental,l
m,segmental,m
n,segmental,n
o,segmental,o
p,segmental,p
q,segmental,q
r,segmental,r
s,segmental,s
t,segmental,t
u,segmental,u
v,segmental,v
w,segmental,w
x,segmental,x
y,segmental,y
z,segmental,z
{,segmental,{
|,segmental,|
},segmental,}
~,segmental,~
