lexeme,cell,phon_form
'd,0,' d
'em,0,' e m
'll,0,' l l
're,0,' r e
's,0,' s
'tween,0,' t w e e n
'tween,1,' t w e e n - d e c k s
'twixt,0,' t w i x t
'un,0,' u n
've,0,' v e
A-bomb,0,A - b o m b
A-bomb,1,A - b o m b s
A-level,0,A - l e v e l
A-level,1,A - l e v e l s
AA,0,A A
AA,1,A A s
ABC,0,A B C
ABC,1,A B C ' s
ABC,2,A B C s
Aborigine,0,A b o r i g i n e
Aborigine,1,A b o r i g i n e s
Addressograph,0,A d d r e s s o g r a p h
Addressograph,1,A d d r e s s o g r a p h s
Afghan,0,A f g h a n
Afghan,1,A f g h a n s
Afghani,0,A f g h a n i
Afghani,1,A f g h a n i s
Afghanistani,0,A f g h a n i s t a n i
Afghanistani,1,A f g h a n i s t a n i s
African,0,A f r i c a n
African,1,A f r i c a n s
Afrikaner,0,A f r i k a n e r
Afrikaner,1,A f r i k a n e r s
Afro,0,A f r o
Afro,1,A f r o - w i g
Afro,2,A f r o - w i g s
Afro,3,A f r o s
Airedale,0,A i r e d a l e
Airedale,1,A i r e d a l e s
Albanian,0,A l b a n i a n
Albanian,1,A l b a n i a n s
Algerian,0,A l g e r i a n
Algerian,1,A l g e r i a n s
American,0,A f r o - A m e r i c a n
American,1,A f r o - A m e r i c a n s
American,2,A m e r i c a n
American,3,A m e r i c a n i s m
American,4,A m e r i c a n i s m s
American,5,A m e r i c a n s
American,6,A m e r i n d i a n
American,7,A m e r i n d i a n s
American,8,a m e r i c a n i z e
American,9,a m e r i c a n i z e d
American,10,a m e r i c a n i z e s
American,11,a m e r i c a n i z i n g
American,12,u n - A m e r i c a n
Andorran,0,A n d o r r a n
Andorran,1,A n d o r r a n s
Anglican,0,A n g l i c a n
Anglican,1,A n g l i c a n i s m
Anglican,2,A n g l i c a n s
Anglo-American,0,A n g l o - A m e r i c a n
Anglo-American,1,A n g l o - A m e r i c a n s
Anglo-Catholic,0,A n g l o - C a t h o l i c
Anglo-Catholic,1,A n g l o - C a t h o l i c i s m
Anglo-Catholic,2,A n g l o - C a t h o l i c s
Anglo-Indian,0,A n g l o - I n d i a n
Anglo-Indian,1,A n g l o - I n d i a n s
Anglo-Saxon,0,A n g l o - S a x o n
Anglo-Saxon,1,A n g l o - S a x o n s
Angolan,0,A n g o l a n
Angolan,1,A n g o l a n s
Anguillan,0,A n g u i l l a n
Anguillan,1,A n g u i l l a n s
Antiguan,0,A n t i g u a n
Antiguan,1,A n t i g u a n s
April,0,A p r i l
April,1,A p r i l s
Aquarius,0,A q u a r i u s
Aquarius,1,A q u a r i u s e s
Arab,0,A r a b
Arab,1,A r a b s
Arab,2,a r a b e s q u e
Arab,3,a r a b e s q u e s
Arabian,0,A r a b i a n
Arabian,1,A r a b i a n s
Arabic,0,A r a b i c
Arabic,1,A r a b i s t
Arabic,2,A r a b i s t s
Arcadian,0,A r c a d i a n
Arcadian,1,A r c a d i a n s
Argentine,0,A r g e n t i n e
Argentine,1,A r g e n t i n e s
Argentinian,0,A r g e n t i n i a n
Argentinian,1,A r g e n t i n i a n s
Aries,0,A r i e s
Aryan,0,A r y a n
Aryan,1,A r y a n s
